CANTOR,CÓD,TÍTULO,INÍCIO DA LETRA,CART
BRUNO E MARRONE,9412,CASTELO DE AREIA ,Vou tentando segurar é loucura te que,IMP 13
BRUNO E MARRONE,9458,FICAR POR FICAR ,Eu não quero só ficar quero mais que a,IMP 13
BRUNO E MARRONE,9494,NÃO TEM OUTRO JEITO ,Se quer parar se quer pensar,IMP 13
BRUNO E MARRONE,9645,COISA DE PELE ,Se eu te encontrar por aí,IMP 14
BRUNO E MARRONE,9684,HOJE EU NÃO TÔ PRA NINGUÉM ,Hoje eu amanheci machucado de paixão,IMP 14
BRUNO E MARRONE,9848,NÃO FAZ MAIS ISSO COMIGO ,Não faz mais isso comigo,IMP 14
BRUNO E MARRONE,15064,COMO EU CHOREI ,Eu nunca pensei que tivesse fim,IMP 23
BRUNO E MARRONE,15109,FAVO DE MEL ,Te liguei para testar o seu amor,IMP 23
BRUNO E MARRONE,15199,VIDRO FUMÊ ,Foi num telefonema anônimo imp 24,@@
BRUNO E MARRONE,15232,JÁ NÃO SEI MAIS NADA ,Eu não sei dizer se este amor imp 24,@@
BRUNO E MARRONE,15680,VOU TE AMARRAR NA MINHA CAMA,Gatinha manhosa do beijo gostoso,IMP 27
BRUNO E MARRONE,15793,TCHAU AMOR ,Este é o nosso último encontro,IMP 27
BRUNO E MARRONE,15886,CHORAR (LLORAR) ,Me perdi buscando te encontrar,IMP28
BRUNO E MARRONE,15935,DORMI NA PRAÇA (VERSÃO ESTÚDIO) ,Eu caminhei sozinho pela rua,IMP28
BRUNO E MARRONE,15970,ISSO CÊ NUM CONTA ,Fala pra elas que o fim de semana 29A,@@
BRUNO E MARRONE,16174,AGORA (AHORA) ,Agora fala que me ama 30B,@@
BRUNO E MARRONE,16185,JURAS DE AMOR ,Eu pensei que fosse fácil esquecer 30B,@@
BRUNO E MARRONE,16528,NA CONTA DA LOUCURA ,Gosto das suas mãos atrevidas 32C,@@
BRUNO E MARRONE,16819,SINÔNIMO DE AMOR ,Estou aqui olhos nos olhos com você 34B,@@
BRUNO E MARRONE,16955,POR UM GOLE A MAIS ,Paguei eu assumo eu admito 35A,@@
BRUNO E MARRONE,17012,CORAÇÃO DE PEDRA ,Quero você te abraçar te envolver te sentir 35C,@@
BRUNO E MARRONE,17284,HOMEM DO MEU TEMPO ,Vou levando a vida e a vida me levando,IMP 37
BRUNO E MARRONE,17352,CORAÇÃO DE ISCA ,Aquele eu te amo parecia ser verdade heim,IMP 37
BRUNO E MARRONE,17658,SHOW DE RECAIDA ,Se arrependimento matasse eu ja tinha morrido 39K,@@
BRUNO E MARRONE,17779,SUA MELHOR VERSÃO ,Hoje me disseram que cê beija bem 40F,@@
BRUNO E MARRONE,17799,PRA LÁ QUE EU VOU ,Deixa no jeito a cerveja geladinha 40H,@@
BRUNO E MARRONE,17209,TIRO E QUEDA ,"Ai-ai-ai... Tô na mesa de um bar bebendo e 36K,",@@
BRUNO E MARRONE,16432,BEIJO DE VARANDA ,Todos os dias é mais um dia para ter 31 D17,@@
BRUNO E MARRONE - HENRIQUE E JULIANO BRUNO E MARRONE - JORGE E,17535,DEIXA ELA EM PAZ ,Provavelmente sabe quem sou eu,IMP 38
BRUNO E MARRONE E CALYPSO,6967,POR QUE CHORAS? ,Porque chora assim…,BRA
BRUNO E MARRONE-EDSON E HUDSON,9387,AMOR DE PING PONG ,Eesse amor de ping pong,IMP 13
BRUNO MARRONE,6247,AMOR DE CARNAVAL ,Primavera chegou seu amor me pegou...,BRA
BRUNO MARS,19009,IT WILL RAIN ,If you ever leave me baby,INT 5
BRUNO MARS,19019,TALKING TO THE MOON ,Iknow you're somewhere out there,INT 5
BRUNO MARS,19021,THE LAZY SONG ,Today I don't feel like doing anything,INT 5
BRUNO MARS,19036,JUST THE WAY YOU ARE ,Oh her eyes her eyes make the stars,INT 5
BRUNO MARS,19054,GRENADE ,Easy come easy go that's just how you live,INT 5
BRUNO MARS,19061,LOCKED OUT OF HEAVEN ,Oh yeah yeah...Never had much faith in love,INT 5
BRUNO MARS,19197,WHEN I WAS YOUR MAN ,Same bed but it feels just a little bit bigger now,INT 6
BRUNO MARS,19290,GORILLA ,Ooh I got a body full of liquor with a cocaine kicker,INT 6
BRUNO MARS,19467,MARRY YOU ,It's a beautiful night,INT 7
BRUNO MARS,19675,TREASURE ,Give me your give me your,INT09A
BRUNO MARS,19715,THAT'S WHAT I LIKE ,Hey hey hey I got a condo in Manhattan,INT09B
BRUNO MARS,20200,TOO GOOD TO SAY GOODBYE I,'ve made mistakes I could have,INT12B
BRUNO MARS,20239,VERSACE ON THE FLOOR ,Let's take our time tonight girl,INT12C
BRUNO MARS,20331,24K MAGIC ,Tonight I just wanna take you higher,INT13F
BRUNO MARS,20583,COUNT ON ME ,If you ever find yourself,INT14Q
BRUNO MARS - ANDERSON PAAK,20354,LEAVE THE DOOR OPEN ,Say baby... What you doing what you doing,INT13H
BRUNO MARS - ANDERSON PAAK,20519,SMOKIN OUT THE WINDOW ,Must've spent thirty five forty five thousand up,INT14H
BRUNO MARS - MARK RONSON,19403,UPTOWN FUNK ,This hit that ice cold Michelle Pfeiffer that,INT 7
BRYAN ADAMS,4706,EVERYTHING I DO (I DO IT FOR YOU) ,Look into my eyes you will see...,EUA
BRYAN ADAMS,4875,CAN'T STOP THIS THING WE STARTED ,Yeah,USA
BRYAN ADAMS,4898,HAVE YOU EVER REALLY LOVED A WOMAN ,To really love a woman,USA
BRYAN ADAMS,19775,STRAIGHT FROM THE HEART ,Icould start dreamin' but it never ends,INT09D
BRYAN FERRY,9234,SLAVE TO LOVE ,Tell her I be waiting in the usual plac....,USA 3
BUCHECHA,15459,FRUTILLY ,Praia sol e mar,IMP25
BUCHECHA,15900,HOT DOG ,Éque eu sou hot hot é que eu sou hot dog,IMP28
BUCHECHA - BELO,15326,CRISTAL ,Tão encantada ela vem me faz flutuar,IMP 25
BUDDY HOLLY,9124,I'M LOOKIN' FOR SOMEONE TO LOVE,Stayin' at home waitin' for you…,EUA
BYAFRA,2876,HELENA ,Noite que se foi sem se quer dizer pra onde foi 22C,@@
BÁRBARA DIAS,17151,9 MESES (ORAÇÃO DO BEBÊ) ,Um mês e o tempo voa eu já sou 36B,@@
C. EVANGÉLICA VILA DA PENHA,5626,NOSSO DEUS É SOBERANO ,Me rendo aos Teus pés venho rasgar...,EVAN
C.C.R,2516,I PUT A SPELL ON YOU ,Iput a spell on you because you’re mine,EUA 4
C.C.R.,2553,BORN ON THE BAYOU ,Now when I was just a little boy,EUA 4
C.C.R.,4508,COTTON FIELDS ,When I was a little baby my mother,EUA
C.C.R.,4580,HAVE YOU EVER SEEN THE RAIN ,Someone told me long ago,EUA
C.C.R.,4602,PROUD MARY ,Left a good good in the city,EUA
C.C.R.,4616,BAD MOON RISING ,Isee the bad moon rising I see,EUA
C.C.R.,4656,SUSIE Q ,"Oh susie Q, oh Susie Q, oh Susie",EUA
C.C.R.,4792,TRAVELIN’ BAND ,Seven-thirty-seven comin’ out...,EUA
C.C.R.,4795,UP AROUND THE BEND ,There’s a place up ahead and I’m goin’...,EUA
C.C.R.,5910,GREEN RIVER ,Well take me back down where cool water f,USA 3
C.C.R.,5960,RUN THROUGH THE JUNGLE ,Oh oh thought it was a nightmare,USA 3
C.C.R.,9073,WHO'LL STOP THE RAIN ,Long as I remember,USA
CACHORRO GRANDE,9534,SINCERAMENTE ,Sinceramente você pode se abrir comi,IMP 13
CAETANO VELOSO,1364,"MINHA VOZ, MINHA VID",Aminha voz minha vida,IMP17
CAETANO VELOSO,1635,TERRA ,Quando eu me encontrava preso,IMP 18
CAETANO VELOSO,1944,IRENE ,Eu quero ir minha gente,IMP20
CAETANO VELOSO,2849,ECLIPSE OCULTO ,Nosso amor não deu certo gargalhadas 22B,@@
CAETANO VELOSO,3070,É HOJE ,Aminha alegria atravessou o mar,BRA
CAETANO VELOSO,3246,SAMPA ,Alguma coisa acontece no meu coração,BRA
CAETANO VELOSO,3292,VOCÊ É LINDA ,Fonte de mel nos olhos de gueixa,BRA
CAETANO VELOSO,3668,LUA DE SÃO JORGE ,"Lua de São Jorge, lua deslumbrante",BRA
CAETANO VELOSO,3723,QUEIXA ,Um amor assim delicado,BRA
CAETANO VELOSO,3741,BELEZA PURA ,Não me amarra dinheiro não,BRA
CAETANO VELOSO,3837,DEBAIXO DOS CARACÓIS DOS SEUS CABELOS ,Um dia a areia branca seus pés irão tocar,BRA
CAETANO VELOSO,3867,"CHUVA, SUOR E CERVEJA ",Não se perca de mim não se esqueça,BRA
CAETANO VELOSO,3947,ALEGRIA ALEGRIA ,"Caminhando contra o vento, sem",BRA
CAETANO VELOSO,4134,SOZINHO ,As vezes no silêncio da noite,BRA
CAETANO VELOSO,4159,LUA E ESTRELA ,Menina do anel de lua e estrela,BRA
CAETANO VELOSO,4276,LONDON LONDON I,'m wandering round and round...,BRA
CAETANO VELOSO,4286,O LEÃOZINHO ,Gosto muito de te ver leãozinho,BRA
CAETANO VELOSO,4409,QUALQUER COISA ,Esse papo já tá qualquer coisa...,BRA
CAETANO VELOSO,6142,MEIA LUA INTEIRA ,Meia lua inteira sopapo na cara do......,BRA
CAETANO VELOSO,6174,DRÃO ,Drão o amor da gente é como um grão...,BRA
CAETANO VELOSO,6278,SOY LOCO POR TI AMERICA ,Soy loco por ti America...,BRA
CAETANO VELOSO,6305,PODRES PODERES ,Enquanto os homens...,BRA
CAETANO VELOSO,6679,VOCÊ NÃO ME ENSINOU A TE ESQUECER ,Não vejo mais você faz tanto tempo...,BRA
CAETANO VELOSO,6753,TREM DAS CORES ,Afranja da encosta cor de laranja...,BRA
CAETANO VELOSO,6818,DISSERAM QUE VOLTEI AMERICANIZADA ,Disseram que eu voltei americanizada,BRA
CAETANO VELOSO,6871,PRA TE LEMBRAR ,Que é que eu vou fazer pra te esquecer,BRA
CAETANO VELOSO,7487,A LUZ DE TIETA ,Todo dia é o mesmo dia a vida é tão,IMP 11
CAETANO VELOSO,7692,ROCKS ,Tatuou um ganesh na coxa,IMP 11
CAETANO VELOSO,9313,ORAÇÃO AO TEMPO ,És um senhor tão bonito,IMP 13
CAETANO VELOSO,9490,NÃO ENCHE ,Me larga não enche,IMP 13
CAETANO VELOSO,9530,SAMBA DE VERÃO ,Você viu só que amor nunca vi coisa a,IMP 13
CAETANO VELOSO,15156,TIRANIZAR ,Se você quiser me prender vai ter que saber me soltar,IMP 23
CAETANO VELOSO,15365,CAJUÍNA ,Existirmos a que será que se destina,IMP 25
CAETANO VELOSO,15659,FELICIDADE ,Felicidade foi-se embora e a saudade,IMP 27
CAETANO VELOSO,15795,UM ABRAÇAÇO ,Dei um laço no espaço pra pegar um pedaço,IMP 27
CAETANO VELOSO,16168,O QUERERES ,Onde queres revólver sou coqueiro 30B,@@
CAETANO VELOSO,16435,ISTO AQUI O QUE É ,Isso aqui ô ô é um pouquinho de Brasil iá iá 31D,@@
CAETANO VELOSO,7023,LUNA ROSSA ,La ari il ra la ari il ra Vaca distrattamente abbabdunato,ITA
CAETANO VELOSO - TOM ZÉ - GILBERTO GIL,16039,TROPICÁLIA ,Sobre a cabeça os aviões 29B,@@
CAETANO VELOSO E FLÁVIO VENTURINI,6768,CÉU DE SANTO AMARO ,Olho para o céu...,BRA
CAETANO VELOSO E GAL COSTA,7574,CORAÇÃO VAGABUNDO ,Meu coração não se cansa de ter esper,IMP 11
CAETANO VELOSO E GILBERTO GIL,6533,DESDE QUE O SAMBA É SAMBA ,Atristeza é senhora…,BRA
CAETANO VELOSO E JORGE MAUTNER,6594,TODO ERRADO ,Eu não peço desculpa e nem peço…,BRA
CAETANO VELOSO/GAL COSTA,3937,SORTE ,Tudo de bom que você me fizer,BRA
CAETANO VELOZO,6439,TRILHOS URBANOS ,Omelhor tempo esconde.....,BRA
CAHARLIE BROWN JR.,4340,ZÓIO D'LULA ,Tirou a roupa entrou no mar...,BRA
CAIO CESAR E DIEGO,2824,ANIMAL ,Tô à procura de uma namorada 22B,@@
CAIO CESAR E DIEGO,2925,PEGA USA E JOGA FORA ,Pega usa e joga fora 22D,@@
CAKE,19492,NEVER THERE ,Ineed your arms around me,INT08A
CALCINHA PRETA,10081,MÁGICA ,Musica Extra,8a
CALCINHA PRETA,10085,RENASCERÁ ,Musica Extra,8a
CALCINHA PRETA,75550,FAÇO CHOVER ,Musica Extra,@@
CALCINHA PRETA,75551,FIQUE AMOR ,Musica Extra,@@
CALCINHA PRETA,75552,HELLO ,Musica Extra,@@
CALCINHA PRETA,75553,NÃO ME DEIXE AGORA ,Musica Extra,@@
CALCINHA PRETA,75554,SEGREDOS ,Musica Extra,@@
CALCINHA PRETA,75555,SEU NAMORADO ,Musica Extra,@@
CALCINHA PRETA,75556,SONHO LINDO ,Musica Extra,@@
CALCINHA PRETA,1185,AMOR DIVIDID,Onão quero mais esse amor dividido,IMP 16
CALCINHA PRETA,1190,VOCÊ NÃO VALE NAD,Avocê nao vale nada mas eu gosto de vo,IMP 16
CALCINHA PRETA,1353,BEBO E CHOR,Oeu choro feito um menino chorão,IMP17
CALCINHA PRETA,2845,CENA DE NOVELA ,Onosso amor é cena de novela 22B,@@
CALCINHA PRETA,6851,DECLARAÇÃO DE AMOR ,Hoje me deu uma vontade louca aluci,BRA
CALCINHA PRETA,7063,BABYDOLL ,Só você sabe me fazer mulher,BRA
CALCINHA PRETA,7214,POR AMOR ,Será que você já me esqueceu,BRA
CALCINHA PRETA,7245,SEU NAMORADO ,Eu não vou te deixar eu quero é mais,BRA
CALCINHA PRETA,7671,PENSÃO ALIMENTÍCIA ,Que foi que eu fiz,IMP 11
CALCINHA PRETA,9319,POR QUE TOCOU MEU CORAÇÃO ,Por que tocou meu coração,IMP 13
CALCINHA PRETA,15802,A DONA DO BARRACO ,Ela é glamourosa e está com tudo em cima,IMP28
CALCINHA PRETA,15899,FILMES E HISTÓRIAS ,Queria viver com você um conto de fadas,IMP28
CALCINHA PRETA,16257,A CASA CAIU ,Eu descobri que tem um outro amor,30D
CALCINHA PRETA,16757,HOJE À NOITE ,Anoite passa devagar 33D,@@
CALCINHA PRETA,17205,MÁGICA ,"Certos dias o vento traz o teu cheiro36K,",@@
CALCINHA PRETA,17404,"DOIS AMORES, DUAS PAIXOES ",Não não posso tomar essa decisão,IMP 38
CALCINHA PRETA,17438,PAULINHA (WITHOUT YOU) ,Não ha quem te ame tanto envolvido em seus,IMP 38
CALCINHA PRETA,17582,AGORA ESTOU SOFRENDO (BLEEDING HEART) ,Não há amor para mim não 39C,@@
CALCINHA PRETA,17013,E O VENTO LEVOU ,Desde o dia em que você se foi 35 C18,@@
CALLING (THE),19277,WHEREVER YOU WILL GO ,So lately been wondering,INT 6
CALVIN HARRIS,19894,FEEL SO CLOSE ,Ifeel so close to you right now,INT10C
CALVIN HARRIS - DUA LIPA,20545,ONE KISS ,One kiss is all it takes falling in love with me,INT14L
CALVIN HARRIS - JOHN NEWMAN,19841,BLAME ,Can't be sleepin' keep on wakin',INT10B
CALYPSO,6490,DANÇANDO CALYPSO ,Chega pra cá meu bem que eu vou te…,BRA
CALYPSO,6734,IMAGINO ,Imagino nós dois na mesma cama...,BRA
CAMARGO E LUCIANO,15239,QUANDO VOCÊ SOME ,Quando você some assim imp 24,@@
CAMELO IVETE SANGALO - MARIA,16369,TEUS OLHOS ,Teus olhos abrem pra mim 31C,@@
CAMILA CABELLO,19825,NEVER BE THE SAME ,Something must've gone wrong in my brain,INT10A
CAMILA CABELLO,20293,CRYING IN THE CLUB ,You think that you'll die without him,INT13B
CAMILA CABELLO,20408,MILLION TO ONE ,Here I go again I'm imagining a world outside,INT 13
CAMILA CABELLO - YOUNG THUG,19764,HAVANA ,Havana ooh na-na,INT09D
CAMISA DE VÊNUS,6313,SIMCA CHAMBORD ,Um dia meu pai chegou em casa...,BRA
CAMISA DE VÊNUS,6370,EU NÃO MATEI JOANA D'ARC ,Eu nunca tive nada com Joana D'arc...,BRA
CAMISA DE VÊNUS,9537,SÓ O FIM ,Se o chão abriu sob os seus pés,IMP 13
CAMISA DE VÊNUS,16912,HOJE ,Ouvi notícias de muito longe 34D,@@
CAMISA DE VÊNUS,17135,GOTHAM CITY ,Aos quinze anos eu nasci em Gotham City 36C,@@
CANSEI DE SER SEXY,9540,SUPER AFIM ,Ontem quando eu acordei ah eu tava tã,IMP 13
CAPITAL CITIES,19851,SAFE AND SOUND ,Icould lift you up,INT10B
CAPITAL INICIAL,1241,A VIDA É MINHA (EU FAÇO ,Ofaça isso faça aquilo,IMP 16
CAPITAL INICIAL,1502,ALTOS E BAIXOS ,Esse aqui é meu lugar,IMP 18
CAPITAL INICIAL,1540,VIVENDO E APRENDENDO ,Outra história com um outro rosto,IMP 18
CAPITAL INICIAL,1609,MIL VEZES ,Há sempre alguma coisa que esquecemos,IMP 18
CAPITAL INICIAL,1623,PROVA ,Vejo seu retrato,IMP 18
CAPITAL INICIAL,1637,UM HOMEM SÓ ,As lágrimas secam e eu esqueço,IMP 18
CAPITAL INICIAL,1647,AUTORIDADES ,Vou denunciar,IMP19
CAPITAL INICIAL,2813,O MUNDO ,Tchuru tchu... você que já esteve no céu 22A,@@
CAPITAL INICIAL,3165,MÚSICA URBANA ,Contra todos e contra ninguém,BRA
CAPITAL INICIAL,4318,INDEPENDÊNCIA ,Toda essa curiosidade...,BRA
CAPITAL INICIAL,6069,NATASHA ,Tem dezessete anos e fugiu de casa...,BRA
CAPITAL INICIAL,6090,CAI A NOITE ,Cai a noite na cidade vinda de lugar...,BRA
CAPITAL INICIAL,6148,O PASSAGEIRO ,Eu sou o passageiro eu rodo sem parar.....,BRA
CAPITAL INICIAL,6372,FÁTIMA ,Vocês esperam uma intervenção divina...,BRA
CAPITAL INICIAL,6445,A SUA MANEIRA ,Ela dormiu no calor dos meus braços…,BRA
CAPITAL INICIAL,6505,QUATRO VEZES VOCÊ ,Rafael tá trancado há dois dias no…,BRA
CAPITAL INICIAL,6538,MAIS ,Ésempre frio é tão estranho…,BRA
CAPITAL INICIAL,6607,COMO DEVIA ESTAR ,Folhas verdes caem no jardim...,BRA
CAPITAL INICIAL,6716,SEM CANSAR ,Lá lá.. Qual é a parte do corpo...,BRA
CAPITAL INICIAL,6785,NÃO OLHE PRA TRÁS ,Nem tudo é como você quer...,BRA
CAPITAL INICIAL,6874,RESPIRAR VOCÊ ,Lento como o tempo que não quer,BRA
CAPITAL INICIAL,7466,TODAS AS NOITES ,Todas as noites são iguais,BRA
CAPITAL INICIAL,7554,ANÚNCIO DE REFRIGERANTE ,Sentado embaixo do bloco sem ter o qu,IMP 11
CAPITAL INICIAL,7905,AQUI ,Às vezes acho que eu fiquei louco,IMP 12
CAPITAL INICIAL,7960,EU NUNCA DISSE ADEUS ,Eu não sei o que eu tô fazendo,IMP 12
CAPITAL INICIAL,7968,FOGO ,Você é tão acostumada a sempre ter razão,IMP 12
CAPITAL INICIAL,9597,ALGUM DIA ,Ninguém nunca te disse como ser tão im,IMP 14
CAPITAL INICIAL,9652,DANÇANDO COM A LUA ,Cuidado comigo eu não sou nenhum sant,IMP 14
CAPITAL INICIAL,15194,SOL ENTRE NUVENS ,Várias portas num quarto pequeno imp 24,@@
CAPITAL INICIAL,15336,LEVE DESESPERO ,Eu não consigo mais me concentrar,IMP 25
CAPITAL INICIAL,15355,TUDO QUE VAI ,Hoje é o dia eu quase posso,IMP 25
CAPITAL INICIAL,15399,VERANEIO VASCAÍNA ,Cuidado pessoal lá vem vindo a veraneio,IMP 25
CAPITAL INICIAL,15466,KAMIKAZE ,Você não me deixa respirar,IMP25
CAPITAL INICIAL,15736,MELHOR DO QUE ONTEM ,Eu ainda sinto o gosto da noite passada,IMP 27
CAPITAL INICIAL,16231,OLHOS VERMELHOS ,Os velhos olhos vermelhos voltaram 30C,@@
CAPITAL INICIAL,16342,NÃO ME OLHE ASSIM ,Não me olhe assim não me queira mal 31B,@@
CAPITAL INICIAL,16594,DEPOIS DA MEIA-NOITE ,Dias de verão e noites de inverno 32D,@@
CAPITAL INICIAL,17326,O LADO ESCURO DA LUA ,Sempre tem alguma coisa errada,IMP 37
CAPITAL INICIAL,17422,COMO SE SENTE ,Como se sente de volta ao comeco,IMP 38
CAPITAL INICIAL - FAR FROM ALASKA,16470,INVISÍVEL ,Pedi a conta saí sem pagar 32A,@@
CAPITAL INICIAL - SAMUEL ROSA,17532,AMOR EM VÃO ,As roupas novas não me servem mais,IMP 38
CAPITAL INICIAL - SEU JORGE,15959,VAI E VEM ,Nem sempre o céu sorri pra mim,IMP28
CAPITAL INICIAL E KIKO ZAMBIANCHI,6028,PRIMEIROS ERROS ,Meu caminho é cada manhã...,BRA
CAPITAL INICIAL ZELIA DUNCAN,1584,EU VOU ESTAR ,Eu não vou pro inferno,IMP 18
CAPTAIN AND TENNILLE,2523,DO THAT TO ME ONE MORE TIME ,Do that to me one more time,EUA 4
CAPTAIN AND TENNILLE,5939,LOVE WILL KEEP US TOGETHER ,Love love will keep us together,USA 3
CARL DOUGLAS,5930,KUNG FU FIGHTING ,Oh oh oh oh,USA 3
CARL PERKINS,4868,BLUE SUEDE SHOES ,"Well it's one for the money,",USA
CARLINHOS BROWN,3601,A NAMORADA ,Ei bicho o broto do seu lado,BRA
CARLINHOS BROWN,7632,MARES DE TI ,Se tropeçar meus pés cansados,IMP 11
CARLINHOS BROWN,15376,FAZ UM ,Êê... Eu sou um brasileiro e mando um,IMP 25
CARLINHOS BROWN,15388,MIX COPA BROWN Ê ,Brasil Brasil Brasil como é lindo esse,IMP 25
CARLINHOS BROWN - QUÉSIA LUZ,15560,"VOCÊ, O AMOR E EU ",Uma saudade de nós bateu,IMP26
CARLINHOS BROWN E DJ DERO,7633,MARIA CAIPIRINHA ,Tê tê tê tê tê tê tê tê tê tê tê tê t,IMP 11
CARLOS ALEXANDRE,75490,QUERIA EU ,Musica Extra,@@
CARLOS ALEXANDRE,75491,SERTANEJA ,Musica Extra,@@
CARLOS ALEXANDRE,75492,VOLTEI A PRAIA ,Musica Extra,@@
CARLOS ALEXANDRE,9372,A CIGANINHA ,Você é a ciganinha dona do meu cora,IMP 13
CARLOS ALEXANDRE,16181,FEITICEIRA ,Feiticeira feiticeira feiticeira é essa mulher 30B,@@
CARLOS DAFÉ,7221,PRA QUE VOU RECORDAR O QUE SOFRI ,Não quero mais saber de ti,BRA
CARLOS DAFÉ,7482,A CRUZ ,Êh ah êh ah êh ah,IMP 11
CARLOS DAFÉ,7726,VENHA MATAR SAUDADES ,Chora tristeza de viver assim,IMP 11
CARLOS GONZAGA,6632,SERENO ,Sereno da madrugada caindo no meu..,BRA
CARLOS GONZAGA,3966,OH CAROL ,Oh Carol sem o teu amor tudo é,BRA
CARLOS JOSÉ,1164,ESMERALD,Avestida de noiva com véu e grinalda,IMP 16
CARLOS JOSÉ,1177,QUERI,Aqueria que você fosse o meu último b,IMP 16
CARLOS LYRA,2914,LOBO BOBO ,Era uma vez um lobo mau 22D,@@
CARLOS OLIVA/LOS SOBRINOS,3368,MACARENA ,Dale a tu cuerpo alegria macarena,ESP
CARLOS SANTOS,6346,QUERO VOCÊ ,Meu amor não se esqueça de mim...,BRA
CARLY RAE JEPSEN,19046,CALL ME MAYBE ,Ithrew a wish in the well don't ask me,INT 5
CARLY RAE JEPSEN,19074,THIS KISS ,Iwent out last night I'm going out tonight,INT 5
CARLY SIMON,2528,JUST LIKE YOU DO ,If you think you’re alone,EUA 4
CARLY SIMON,4695,COMING AROUND AGAIN ,Baby sneezes momy pleases...,EUA
CARLY SIMON,9077,YOU KNOW WHAT TO DO ,The night is filled with pretty girls,USA
CARLY SIMON,9145,NOBODY DOES IT BETTER ,Nobody does it better…,EUA
CARLY SIMON,20135,YOU'RE SO VAIN ,You walked into the party,INT12A
CARMELO PAGANO,7021,L'AMORE SE NE VA L,'amore se ne va,ITA
CARMEM SILVA,7493,ADEUS SOLIDÃO ,Eu já sofri e até chorei sozinha sem,IMP 11
CARMEN SILVA,16111,SEGURA NA MÃO DE DEUS ,Se as águas do mar da vida quiserem te afogar 29D,@@
CARNAVAL,3782,ALLAH LÁ OH ,"Allah lá oh, oh, oh, oh, oh",BRA
CARNAVAL,3783,AURORA ,"Se você fosse sincera ô, ô, ô",BRA
CARNAVAL,3784,CABELEIRA DO ZEZÉ ,Olha a cabeleira do Zezé,BRA
CARNAVAL,3785,CACHAÇA ,Você pensa que cachaça é água,BRA
CARNAVAL,3787,CORAÇÃO DE JACARÉ ,Trocaram o coração da minha sogra,BRA
CARNAVAL,3800,JARDINEIRA Ó ,Jardineira por que estás tão triste?,BRA
CARNAVAL,3803,MARCHA DA CUECA ,"Eu mato, eu mato",BRA
CARNAVAL,3804,MARIA SAPATÃO ,"Maria sapatão, sapatão, sapatão",BRA
CARNAVAL,3805,ME DÁ UM DINHEIRO AÍ ,"Ei, você aí",BRA
CARNAVAL,3807,O TEU CABELO NÃO NEGA ,Oteu cabelo não nega mulata,BRA
CARNAVAL,3810,"QUEM SABE, SABE ","Quem sabe sabe, conhece bem",BRA
CARNAVAL,3812,SACA ROLHA ,As Águas vão rolar,BRA
CARNAVAL,3813,SASSARICANDO ,Sa-sassaricando,BRA
CARNAVAL,3817,TAÍ ,Taí,BRA
CARNAVAL,3802,MAMÃE EU QUERO ,"Mamãe eu quero, mamãe eu quero,",BRA 19
CARO EMERALD,19161,A NIGHT LIKE THIS ,From where you are you see the smoke,INT 6
CAROL CELICO E CLAUDIA LEITTE,2678,MESMA LU,Zfoi assim que um dia sozinha eu te vi,IMP 21
CAROL SONG,4604,SILENT NIGHT ,Silent night holy night,EUA
CAROL SONG,4651,SILVER BELLS ,City side walks busy side walks,EUA
CAROLE KING,4730,IT’S TOO LATE ,Stayed in bed all mornin’ just to pass...,EUA
CAROLE KING,9171,SO FAR AWAY ,So far away…,EUA
CARPENTERS,2552,BLESS THE BEASTS AND THE CHILDREN ,Bless the beasts and the children,EUA 4
CARPENTERS,4606,SUPERSTAR ,Long ago and oh so far away,EUA
CARPENTERS,4612,TOP OF THE WORLD ,Such a feelin's comin'over me,EUA
CARPENTERS,4615,YESTERDAY ONCE MORE ,When I was young I'd listen to the radio,EUA
CARPENTERS,4728,IT’S GONNA TAKE SOME TIME ,It’s gonna take some time this time...,EUA
CARPENTERS,4752,ONLY YESTERDAY ,After long enough of being alone...,EUA
CARPENTERS,4756,PLEASE MR. POSTMAN ,Oh yes wait a minute Mister Postman...,EUA
CARPENTERS,4914,I NEED TO BE IN LOVE ,The hardest thing I've ever done,USA
CARPENTERS,9014,CLOSE TO YOU ,Why do birds suddenly appear,USA
CARPENTERS,9068,THIS MASQUERADE ,Are we really happy,USA
CARPENTERS,9115,HURTING EACH OTHER ,No one in the world…,EUA
CARPENTERS,9133,LET ME BE THE ONE ,Some sleepless night…,EUA
CARPENTERS,9156,RAINY DAYS AND MONDAYS ,Talkin' to myself and feelin' old…,EUA
CARPENTERS,9194,WE'VE ONLY JUST BEGUN ,We've only just begun to live…,EUA
CARPENTERS,19173,FOR ALL WE KNOW ,Love look at the two of us,INT 6
CARPENTERS,19668,SING ,Sing sing a song,INT09A
CARPENTERS (THE),20367,THERE'S A KIND OF HUSH ,There's a kind of hush all over the world,INT 13
CARRAPICHO,3565,FESTA DE UM POVO ,"Ôh ôh ôh éh ôh, lê lê lê lê lê lê",BRA
CARTOLA,75557,DISFARÇA E CHORA ,Musica Extra,@@
CARTOLA,3018,AS ROSAS NÃO FALAM ,Bate outra vez com esperanças,BRA
CARTOLA,9591,ACONTECE ,Esquece o nosso amor vê se esquece,IMP 14
CARTOLA,9854,O MUNDO É UM MOINHO ,Ainda é cedo amor,IMP 14
CARVALHO,16962,AINDA É TEMPO PRA SER FELIZ ,Me cansei de ficar mudo 35B,@@
